season,date,teams,result
1997-1998,01.02.1998,Brescia-Inter,0-1
1997-1998,01.02.1998,Fiorentina-Udinese,1-0
1997-1998,01.02.1998,Lecce-Juventus,0-2
1997-1998,01.02.1998,Milan-Piacenza,1-0
1997-1998,01.02.1998,Napoli-Lazio,0-0
1997-1998,01.02.1998,Parma-Bari,1-0
1997-1998,01.02.1998,Roma-Empoli,4-3
1997-1998,01.02.1998,Vicenza-Sampdoria,1-1
1997-1998,08.02.1998,Atalanta-Parma,0-0
1997-1998,08.02.1998,Bari-Fiorentina,0-1
1997-1998,08.02.1998,Empoli-Napoli,5-0
1997-1998,08.02.1998,Inter-Bologna,0-1
1997-1998,08.02.1998,Juventus-Roma,3-1
1997-1998,08.02.1998,Lazio-Milan,2-1
1997-1998,08.02.1998,Piacenza-Vicenza,1-1
1997-1998,08.02.1998,Sampdoria-Brescia,2-1
1997-1998,08.02.1998,Udinese-Lecce,6-0
1997-1998,11.02.1998,Bologna-Bari,4-3
1997-1998,11.02.1998,Brescia-Juventus,1-1
1997-1998,11.02.1998,Fiorentina-Inter,1-1
1997-1998,11.02.1998,Lazio-Empoli,3-1
1997-1998,11.02.1998,Lecce-Roma,1-3
1997-1998,11.02.1998,Milan-Udinese,0-0
1997-1998,11.02.1998,Napoli-Vicenza,2-0
1997-1998,11.02.1998,Parma-Piacenza,1-1
1997-1998,11.02.1998,Sampdoria-Atalanta,2-0
1997-1998,15.02.1998,Atalanta-Napoli,1-0
1997-1998,15.02.1998,Bari-Lazio,0-2
1997-1998,15.02.1998,Empoli-Fiorentina,1-1
1997-1998,15.02.1998,Inter-Lecce,5-0
1997-1998,15.02.1998,Juventus-Sampdoria,3-0
1997-1998,15.02.1998,Piacenza-Brescia,0-0
1997-1998,15.02.1998,Roma-Bologna,2-1
1997-1998,15.02.1998,Udinese-Parma,1-1
1997-1998,15.02.1998,Vicenza-Milan,1-4
1997-1998,22.02.1998,Bari-Lecce,2-2
1997-1998,22.02.1998,Bologna-Piacenza,3-0
1997-1998,22.02.1998,Brescia-Atalanta,2-2
1997-1998,22.02.1998,Fiorentina-Juventus,3-0
1997-1998,22.02.1998,Lazio-Inter,3-0
1997-1998,22.02.1998,Milan-Empoli,3-1
1997-1998,22.02.1998,Napoli-Roma,0-2
1997-1998,22.02.1998,Parma-Vicenza,2-1
1997-1998,22.02.1998,Sampdoria-Udinese,0-3
1997-1998,28.02.1998,Atalanta-Lazio,0-0
1997-1998,01.03.1998,Bologna-Parma,1-2
1997-1998,01.03.1998,Empoli-Udinese,1-0
1997-1998,28.02.1998,Inter-Napoli,2-0
1997-1998,28.02.1998,Juventus-Bari,1-0
1997-1998,01.03.1998,Lecce-Milan,0-0
1997-1998,01.03.1998,Piacenza-Sampdoria,1-0
1997-1998,01.03.1998,Roma-Fiorentina,4-1
1997-1998,01.03.1998,Vicenza-Brescia,2-1
1997-1998,08.03.1998,Bari-Empoli,2-0
1997-1998,08.03.1998,Brescia-Lecce,3-2
1997-1998,08.03.1998,Fiorentina-Piacenza,1-1
1997-1998,08.03.1998,Lazio-Roma,2-0
1997-1998,08.03.1998,Milan-Sampdoria,1-0
1997-1998,08.03.1998,Napoli-Bologna,0-0
1997-1998,08.03.1998,Parma-Inter,1-0
1997-1998,08.03.1998,Udinese-Juventus,1-1
1997-1998,08.03.1998,Vicenza-Atalanta,1-0
1997-1998,14.03.1998,Bologna-Vicenza,3-1
1997-1998,15.03.1998,Brescia-Milan,2-2
1997-1998,15.03.1998,Empoli-Parma,2-0
1997-1998,14.03.1998,Inter-Atalanta,4-0
1997-1998,14.03.1998,Juventus-Napoli,2-2
1997-1998,15.03.1998,Lecce-Fiorentina,1-1
1997-1998,15.03.1998,Piacenza-Udinese,0-2
1997-1998,15.03.1998,Roma-Bari,2-1
1997-1998,14.03.1998,Sampdoria-Lazio,0-4
1997-1998,22.03.1998,Atalanta-Empoli,1-0
1997-1998,22.03.1998,Bari-Sampdoria,0-1
1997-1998,22.03.1998,Fiorentina-Bologna,1-1
1997-1998,22.03.1998,Lazio-Piacenza,0-0
1997-1998,22.03.1998,Milan-Inter,0-3
1997-1998,22.03.1998,Napoli-Lecce,2-4
1997-1998,22.03.1998,Parma-Juventus,2-2
1997-1998,22.03.1998,Udinese-Brescia,3-1
1997-1998,22.03.1998,Vicenza-Roma,1-1
1997-1998,29.03.1998,Brescia-Bari,1-1
1997-1998,29.03.1998,Fiorentina-Napoli,4-0
1997-1998,28.03.1998,Inter-Vicenza,2-1
1997-1998,28.03.1998,Juventus-Milan,4-1
1997-1998,29.03.1998,Lecce-Atalanta,1-1
1997-1998,29.03.1998,Piacenza-Empoli,0-0
1997-1998,29.03.1998,Roma-Parma,2-2
1997-1998,29.03.1998,Sampdoria-Bologna,2-3
1997-1998,28.03.1998,Udinese-Lazio,0-2
1997-1998,05.04.1998,Atalanta-Roma,0-1
1997-1998,05.04.1998,Bari-Milan,1-0
1997-1998,05.04.1998,Bologna-Udinese,2-0
1997-1998,05.04.1998,Empoli-Brescia,3-1
1997-1998,05.04.1998,Inter-Sampdoria,3-0
1997-1998,05.04.1998,Lazio-Juventus,0-1
1997-1998,05.04.1998,Napoli-Piacenza,1-2
1997-1998,05.04.1998,Parma-Fiorentina,1-2
1997-1998,05.04.1998,Vicenza-Lecce,1-3
1997-1998,11.04.1998,Brescia-Lazio,1-1
1997-1998,11.04.1998,Fiorentina-Vicenza,1-1
1997-1998,11.04.1998,Juventus-Piacenza,2-0
1997-1998,11.04.1998,Lecce-Bologna,1-1
1997-1998,11.04.1998,Milan-Atalanta,3-0
1997-1998,11.04.1998,Parma-Napoli,3-1
1997-1998,11.04.1998,Roma-Inter,1-2
1997-1998,11.04.1998,Sampdoria-Empoli,3-0
1997-1998,11.04.1998,Udinese-Bari,2-0
1997-1998,19.04.1998,Atalanta-Fiorentina,1-0
1997-1998,19.04.1998,Bologna-Milan,3-0
1997-1998,19.04.1998,Empoli-Juventus,0-1
1997-1998,19.04.1998,Inter-Udinese,2-0
1997-1998,19.04.1998,Lecce-Parma,0-2
1997-1998,19.04.1998,Napoli-Sampdoria,0-2
1997-1998,19.04.1998,Piacenza-Bari,0-1
1997-1998,19.04.1998,Roma-Brescia,5-0
1997-1998,19.04.1998,Vicenza-Lazio,2-1
1997-1998,26.04.1998,Bari-Vicenza,0-0
1997-1998,26.04.1998,Brescia-Bologna,1-3
1997-1998,26.04.1998,Empoli-Lecce,5-1
1997-1998,26.04.1998,Juventus-Inter,1-0
1997-1998,26.04.1998,Lazio-Parma,1-2
1997-1998,26.04.1998,Milan-Napoli,0-0
1997-1998,26.04.1998,Piacenza-Atalanta,3-0
1997-1998,26.04.1998,Sampdoria-Fiorentina,2-0
1997-1998,26.04.1998,Udinese-Roma,4-2
1997-1998,03.05.1998,Atalanta-Bari,2-0
1997-1998,03.05.1998,Bologna-Empoli,2-2
1997-1998,03.05.1998,Fiorentina-Brescia,5-1
1997-1998,03.05.1998,Inter-Piacenza,0-0
1997-1998,03.05.1998,Lecce-Lazio,1-0
1997-1998,03.05.1998,Napoli-Udinese,1-3
1997-1998,03.05.1998,Parma-Sampdoria,2-2
1997-1998,03.05.1998,Roma-Milan,5-0
1997-1998,03.05.1998,Vicenza-Juventus,0-0
1997-1998,10.05.1998,Bari-Inter,2-1
1997-1998,10.05.1998,Brescia-Napoli,2-1
1997-1998,10.05.1998,Empoli-Vicenza,3-2
1997-1998,10.05.1998,Juventus-Bologna,3-2
1997-1998,10.05.1998,Lazio-Fiorentina,1-4
1997-1998,10.05.1998,Milan-Parma,1-1
1997-1998,10.05.1998,Piacenza-Roma,3-3
1997-1998,10.05.1998,Sampdoria-Lecce,1-1
1997-1998,10.05.1998,Udinese-Atalanta,1-0
1997-1998,16.05.1998,Atalanta-Juventus,1-1
1997-1998,16.05.1998,Bologna-Lazio,2-1
1997-1998,16.05.1998,Fiorentina-Milan,2-0
1997-1998,16.05.1998,Inter-Empoli,4-1
1997-1998,16.05.1998,Lecce-Piacenza,1-3
1997-1998,16.05.1998,Napoli-Bari,2-2
1997-1998,16.05.1998,Parma-Brescia,1-3
1997-1998,16.05.1998,Roma-Sampdoria,2-0
1997-1998,16.05.1998,Vicenza-Udinese,1-3
1998-1999,13.09.1998,Bari-Venezia,1-0
1998-1999,13.09.1998,Cagliari-Inter,2-2
1998-1999,12.09.1998,Fiorentina-Empoli,2-0
1998-1999,12.09.1998,Milan-Bologna,3-0
1998-1999,12.09.1998,Parma-Vicenza,0-0
1998-1999,13.09.1998,Perugia-Juventus,3-4
1998-1999,13.09.1998,Piacenza-Lazio,1-1
1998-1999,12.09.1998,Roma-Salernitana,3-1
1998-1999,12.09.1998,Udinese-Sampdoria,2-2
1998-1999,20.09.1998,Bologna-Udinese,1-3
1998-1999,20.09.1998,Empoli-Roma,0-0
1998-1999,20.09.1998,Inter-Piacenza,1-0
1998-1999,20.09.1998,Juventus-Cagliari,1-0
1998-1999,20.09.1998,Lazio-Bari,0-0
1998-1999,20.09.1998,Salernitana-Milan,1-2
1998-1999,20.09.1998,Sampdoria-Perugia,1-1
1998-1999,20.09.1998,Venezia-Parma,0-0
1998-1999,20.09.1998,Vicenza-Fiorentina,1-2
1998-1999,26.09.1998,Bari-Bologna,0-0
1998-1999,27.09.1998,Cagliari-Sampdoria,5-0
1998-1999,27.09.1998,Empoli-Inter,1-2
1998-1999,26.09.1998,Milan-Fiorentina,1-3
1998-1999,26.09.1998,Parma-Juventus,1-0
1998-1999,27.09.1998,Perugia-Lazio,2-2
1998-1999,27.09.1998,Piacenza-Vicenza,2-0
1998-1999,26.09.1998,Roma-Venezia,2-0
1998-1999,26.09.1998,Udinese-Salernitana,2-0
1998-1999,04.10.1998,Bologna-Parma,0-0
1998-1999,04.10.1998,Fiorentina-Udinese,1-0
1998-1999,04.10.1998,Inter-Perugia,2-0
1998-1999,04.10.1998,Juventus-Piacenza,1-0
1998-1999,04.10.1998,Lazio-Cagliari,2-0
1998-1999,04.10.1998,Salernitana-Empoli,1-1
1998-1999,04.10.1998,Sampdoria-Roma,2-1
1998-1999,04.10.1998,Venezia-Milan,0-2
1998-1999,04.10.1998,Vicenza-Bari,1-0
1998-1999,18.10.1998,Bari-Udinese,1-1
1998-1999,18.10.1998,Cagliari-Milan,1-0
1998-1999,17.10.1998,Empoli-Bologna,0-0
1998-1999,18.10.1998,Inter-Lazio,3-5
1998-1999,17.10.1998,Parma-Salernitana,2-0
1998-1999,18.10.1998,Perugia-Venezia,1-0
1998-1999,18.10.1998,Piacenza-Sampdoria,4-1
1998-1999,17.10.1998,Roma-Fiorentina,2-1
1998-1999,18.10.1998,Vicenza-Juventus,1-1
1998-1999,25.10.1998,Bologna-Piacenza,3-1
1998-1999,25.10.1998,Cagliari-Bari,3-3
1998-1999,25.10.1998,Fiorentina-Salernitana,4-0
1998-1999,25.10.1998,Juventus-Inter,1-0
1998-1999,25.10.1998,Lazio-Vicenza,1-1
1998-1999,25.10.1998,Milan-Roma,3-2
1998-1999,25.10.1998,Perugia-Parma,2-1
1998-1999,25.10.1998,Sampdoria-Empoli,3-0
1998-1999,25.10.1998,Udinese-Venezia,1-1
1998-1999,01.11.1998,Empoli-Perugia,2-0
1998-1999,01.11.1998,Inter-Bari,2-3
1998-1999,01.11.1998,Juventus-Sampdoria,2-0
1998-1999,31.10.1998,Parma-Fiorentina,2-0
1998-1999,01.11.1998,Piacenza-Milan,1-1
1998-1999,31.10.1998,Roma-Udinese,4-0
1998-1999,01.11.1998,Salernitana-Lazio,1-0
1998-1999,31.10.1998,Venezia-Bologna,0-2
1998-1999,01.11.1998,Vicenza-Cagliari,2-1
1998-1999,08.11.1998,Bari-Parma,1-1
1998-1999,08.11.1998,Bologna-Roma,1-1
1998-1999,08.11.1998,Cagliari-Piacenza,3-2
1998-1999,08.11.1998,Fiorentina-Venezia,4-1
1998-1999,08.11.1998,Lazio-Empoli,4-1
1998-1999,08.11.1998,Milan-Inter,2-2
1998-1999,08.11.1998,Perugia-Vicenza,3-1
1998-1999,08.11.1998,Sampdoria-Salernitana,1-0
1998-1999,08.11.1998,Udinese-Juventus,2-2
1998-1999,15.11.1998,Bari-Milan,0-0
1998-1999,15.11.1998,Empoli-Cagliari,2-1
1998-1999,15.11.1998,Inter-Sampdoria,3-0
1998-1999,15.11.1998,Parma-Udinese,4-1
1998-1999,15.11.1998,Piacenza-Fiorentina,4-2
1998-1999,15.11.1998,Roma-Juventus,2-0
1998-1999,15.11.1998,Salernitana-Perugia,2-0
1998-1999,15.11.1998,Venezia-Lazio,2-0
1998-1999,15.11.1998,Vicenza-Bologna,0-4
1998-1999,21.11.1998,Bologna-Perugia,1-1
1998-1999,21.11.1998,Cagliari-Parma,1-0
1998-1999,22.11.1998,Fiorentina-Inter,3-1
1998-1999,22.11.1998,Juventus-Empoli,0-0
1998-1999,22.11.1998,Milan-Lazio,1-0
1998-1999,21.11.1998,Roma-Bari,1-1
1998-1999,22.11.1998,Salernitana-Venezia,1-0
1998-1999,22.11.1998,Sampdoria-Vicenza,0-0
1998-1999,22.11.1998,Udinese-Piacenza,1-0
1998-1999,29.11.1998,Bari-Fiorentina,0-0
1998-1999,29.11.1998,Bologna-Juventus,3-0
1998-1999,29.11.1998,Empoli-Vicenza,1-0
1998-1999,29.11.1998,Inter-Salernitana,2-1
1998-1999,29.11.1998,Lazio-Roma,3-3
1998-1999,29.11.1998,Parma-Milan,4-0
1998-1999,29.11.1998,Perugia-Piacenza,2-0
1998-1999,29.11.1998,Udinese-Cagliari,2-1
1998-1999,29.11.1998,Venezia-Sampdoria,0-0
1998-1999,06.12.1998,Cagliari-Venezia,0-1
1998-1999,05.12.1998,Fiorentina-Bologna,1-0
1998-1999,06.12.1998,Juventus-Lazio,0-1
1998-1999,06.12.1998,Milan-Udinese,3-0
1998-1999,06.12.1998,Piacenza-Empoli,0-0
1998-1999,05.12.1998,Roma-Perugia,5-1
1998-1999,06.12.1998,Salernitana-Bari,2-2
1998-1999,05.12.1998,Sampdoria-Parma,0-2
1998-1999,06.12.1998,Vicenza-Inter,1-1
1998-1999,13.12.1998,Bari-Empoli,2-1
1998-1999,13.12.1998,Bologna-Salernitana,1-1
1998-1999,13.12.1998,Fiorentina-Juventus,1-0
1998-1999,13.12.1998,Lazio-Sampdoria,5-2
1998-1999,13.12.1998,Milan-Vicenza,1-0
1998-1999,13.12.1998,Parma-Roma,1-1
1998-1999,13.12.1998,Perugia-Cagliari,2-1
1998-1999,13.12.1998,Udinese-Inter,0-1
1998-1999,13.12.1998,Venezia-Piacenza,0-0
1998-1999,20.12.1998,Cagliari-Bologna,0-1
1998-1999,20.12.1998,Empoli-Parma,3-5
1998-1999,20.12.1998,Inter-Roma,4-1
1998-1999,20.12.1998,Juventus-Salernitana,3-0
1998-1999,20.12.1998,Lazio-Udinese,3-1
1998-1999,20.12.1998,Perugia-Fiorentina,2-2
1998-1999,20.12.1998,Piacenza-Bari,3-2
1998-1999,20.12.1998,Sampdoria-Milan,2-2
1998-1999,20.12.1998,Vicenza-Venezia,0-0
1998-1999,06.01.1999,Bari-Perugia,2-1
1998-1999,06.01.1999,Bologna-Lazio,0-1
1998-1999,06.01.1999,Fiorentina-Sampdoria,1-0
1998-1999,06.01.1999,Milan-Juventus,1-1
1998-1999,06.01.1999,Parma-Inter,1-0
1998-1999,06.01.1999,Roma-Piacenza,2-2
1998-1999,06.01.1999,Salernitana-Cagliari,1-3
1998-1999,06.01.1999,Udinese-Vicenza,2-1
1998-1999,20.01.1999,Venezia-Empoli,3-2
1998-1999,10.01.1999,Cagliari-Roma,4-3
1998-1999,10.01.1999,Empoli-Milan,1-1
1998-1999,10.01.1999,Inter-Venezia,6-2
1998-1999,10.01.1999,Juventus-Bari,1-1
1998-1999,10.01.1999,Lazio-Fiorentina,2-0
1998-1999,10.01.1999,Perugia-Udinese,1-3
1998-1999,10.01.1999,Piacenza-Parma,3-6
1998-1999,10.01.1999,Sampdoria-Bologna,1-1
1998-1999,10.01.1999,Vicenza-Salernitana,1-0
1998-1999,17.01.1999,Bari-Sampdoria,3-1
1998-1999,17.01.1999,Bologna-Inter,2-0
1998-1999,17.01.1999,Fiorentina-Cagliari,4-2
1998-1999,17.01.1999,Milan-Perugia,2-1
1998-1999,17.01.1999,Parma-Lazio,1-3
1998-1999,17.01.1999,Roma-Vicenza,3-0
1998-1999,17.01.1999,Salernitana-Piacenza,1-1
1998-1999,17.01.1999,Udinese-Empoli,0-0
1998-1999,17.01.1999,Venezia-Juventus,1-1
1998-1999,24.01.1999,Bologna-Milan,2-3
1998-1999,24.01.1999,Empoli-Fiorentina,0-3
1998-1999,24.01.1999,Inter-Cagliari,5-1
1998-1999,24.01.1999,Juventus-Perugia,2-1
1998-1999,24.01.1999,Lazio-Piacenza,4-1
1998-1999,24.01.1999,Salernitana-Roma,2-1
1998-1999,24.01.1999,Sampdoria-Udinese,1-1
1998-1999,24.01.1999,Venezia-Bari,2-1
1998-1999,24.01.1999,Vicenza-Parma,0-0
1998-1999,31.01.1999,Bari-Lazio,1-3
1998-1999,31.01.1999,Cagliari-Juventus,1-0
1998-1999,31.01.1999,Fiorentina-Vicenza,3-0
1998-1999,31.01.1999,Milan-Salernitana,3-2
1998-1999,31.01.1999,Parma-Venezia,2-2
1998-1999,31.01.1999,Perugia-Sampdoria,2-0
1998-1999,31.01.1999,Piacenza-Inter,0-0
1998-1999,31.01.1999,Roma-Empoli,1-1
1998-1999,31.01.1999,Udinese-Bologna,2-0
1998-1999,07.02.1999,Bologna-Bari,3-1
1998-1999,07.02.1999,Fiorentina-Milan,0-0
1998-1999,07.02.1999,Inter-Empoli,5-1
1998-1999,07.02.1999,Juventus-Parma,2-4
1998-1999,07.02.1999,Lazio-Perugia,3-0
1998-1999,07.02.1999,Salernitana-Udinese,1-2
1998-1999,07.02.1999,Sampdoria-Cagliari,0-0
1998-1999,07.02.1999,Venezia-Roma,3-1
1998-1999,07.02.1999,Vicenza-Piacenza,1-0
1998-1999,14.02.1999,Bari-Vicenza,0-0
1998-1999,14.02.1999,Cagliari-Lazio,0-0
1998-1999,14.02.1999,Empoli-Salernitana,2-3
1998-1999,14.02.1999,Milan-Venezia,2-1
1998-1999,14.02.1999,Parma-Bologna,1-1
1998-1999,14.02.1999,Perugia-Inter,2-1
1998-1999,14.02.1999,Piacenza-Juventus,0-2
1998-1999,14.02.1999,Roma-Sampdoria,3-1
1998-1999,14.02.1999,Udinese-Fiorentina,1-0
1998-1999,21.02.1999,Bologna-Empoli,2-0
1998-1999,21.02.1999,Fiorentina-Roma,0-0
1998-1999,21.02.1999,Juventus-Vicenza,2-0
1998-1999,21.02.1999,Lazio-Inter,1-0
1998-1999,21.02.1999,Milan-Cagliari,1-0
1998-1999,21.02.1999,Salernitana-Parma,1-2
1998-1999,21.02.1999,Sampdoria-Piacenza,3-2
1998-1999,21.02.1999,Udinese-Bari,4-0
1998-1999,21.02.1999,Venezia-Perugia,2-1
1998-1999,28.02.1999,Bari-Cagliari,1-1
1998-1999,28.02.1999,Empoli-Sampdoria,0-1
1998-1999,27.02.1999,Inter-Juventus,0-0
1998-1999,27.02.1999,Parma-Perugia,3-1
1998-1999,27.02.1999,Piacenza-Bologna,5-0
1998-1999,27.02.1999,Roma-Milan,1-0
1998-1999,28.02.1999,Salernitana-Fiorentina,1-1
1998-1999,28.02.1999,Venezia-Udinese,1-0
1998-1999,28.02.1999,Vicenza-Lazio,1-2
1998-1999,07.03.1999,Bari-Inter,1-0
1998-1999,07.03.1999,Bologna-Venezia,2-1
1998-1999,07.03.1999,Cagliari-Vicenza,1-0
1998-1999,07.03.1999,Fiorentina-Parma,2-1
1998-1999,07.03.1999,Lazio-Salernitana,6-1
1998-1999,07.03.1999,Milan-Piacenza,1-0
1998-1999,07.03.1999,Perugia-Empoli,3-1
1998-1999,07.03.1999,Sampdoria-Juventus,1-2
1998-1999,07.03.1999,Udinese-Roma,2-1
1998-1999,14.03.1999,Empoli-Lazio,0-0
1998-1999,13.03.1999,Inter-Milan,2-2
1998-1999,13.03.1999,Juventus-Udinese,2-1
1998-1999,13.03.1999,Parma-Bari,2-1
1998-1999,14.03.1999,Piacenza-Cagliari,2-0
1998-1999,13.03.1999,Roma-Bologna,3-1
1998-1999,14.03.1999,Salernitana-Sampdoria,2-0
1998-1999,14.03.1999,Venezia-Fiorentina,4-1
1998-1999,14.03.1999,Vicenza-Perugia,3-0
1998-1999,21.03.1999,Bologna-Vicenza,4-2
1998-1999,21.03.1999,Cagliari-Empoli,5-1
1998-1999,21.03.1999,Fiorentina-Piacenza,2-1
1998-1999,21.03.1999,Juventus-Roma,1-1
1998-1999,21.03.1999,Lazio-Venezia,2-0
1998-1999,21.03.1999,Milan-Bari,2-2
1998-1999,21.03.1999,Perugia-Salernitana,1-0
1998-1999,21.03.1999,Sampdoria-Inter,4-0
1998-1999,21.03.1999,Udinese-Parma,2-1
1998-1999,03.04.1999,Bari-Roma,1-4
1998-1999,03.04.1999,Empoli-Juventus,1-0
1998-1999,03.04.1999,Inter-Fiorentina,2-0
1998-1999,03.04.1999,Lazio-Milan,0-0
1998-1999,03.04.1999,Parma-Cagliari,1-1
1998-1999,03.04.1999,Perugia-Bologna,0-0
1998-1999,03.04.1999,Piacenza-Udinese,4-3
1998-1999,03.04.1999,Venezia-Salernitana,0-0
1998-1999,03.04.1999,Vicenza-Sampdoria,1-0
1998-1999,11.04.1999,Cagliari-Udinese,1-2
1998-1999,11.04.1999,Fiorentina-Bari,2-2
1998-1999,11.04.1999,Juventus-Bologna,2-2
1998-1999,11.04.1999,Milan-Parma,2-1
1998-1999,11.04.1999,Piacenza-Perugia,2-0
1998-1999,11.04.1999,Roma-Lazio,3-1
1998-1999,11.04.1999,Salernitana-Inter,2-0
1998-1999,11.04.1999,Sampdoria-Venezia,2-1
1998-1999,11.04.1999,Vicenza-Empoli,2-0
1998-1999,18.04.1999,Bari-Salernitana,0-0
1998-1999,17.04.1999,Bologna-Fiorentina,3-0
1998-1999,18.04.1999,Empoli-Piacenza,1-2
1998-1999,18.04.1999,Inter-Vicenza,1-1
1998-1999,17.04.1999,Lazio-Juventus,1-3
1998-1999,17.04.1999,Parma-Sampdoria,1-1
1998-1999,18.04.1999,Perugia-Roma,3-2
1998-1999,18.04.1999,Udinese-Milan,1-5
1998-1999,18.04.1999,Venezia-Cagliari,1-0
1998-1999,25.04.1999,Cagliari-Perugia,2-2
1998-1999,25.04.1999,Empoli-Bari,0-2
1998-1999,25.04.1999,Inter-Udinese,1-3
1998-1999,25.04.1999,Juventus-Fiorentina,2-1
1998-1999,25.04.1999,Piacenza-Venezia,0-1
1998-1999,25.04.1999,Roma-Parma,1-0
1998-1999,25.04.1999,Salernitana-Bologna,4-0
1998-1999,25.04.1999,Sampdoria-Lazio,0-1
1998-1999,25.04.1999,Vicenza-Milan,0-2
1998-1999,02.05.1999,Bari-Piacenza,3-1
1998-1999,02.05.1999,Bologna-Cagliari,1-3
1998-1999,02.05.1999,Fiorentina-Perugia,5-1
1998-1999,02.05.1999,Milan-Sampdoria,3-2
1998-1999,02.05.1999,Parma-Empoli,1-0
1998-1999,03.05.1999,Roma-Inter,4-5
1998-1999,02.05.1999,Salernitana-Juventus,1-0
1998-1999,02.05.1999,Udinese-Lazio,0-3
1998-1999,02.05.1999,Venezia-Vicenza,1-2
1998-1999,09.05.1999,Cagliari-Salernitana,3-1
1998-1999,09.05.1999,Empoli-Venezia,2-2
1998-1999,08.05.1999,Inter-Parma,1-3
1998-1999,09.05.1999,Juventus-Milan,0-2
1998-1999,09.05.1999,Lazio-Bologna,2-0
1998-1999,09.05.1999,Perugia-Bari,0-1
1998-1999,09.05.1999,Piacenza-Roma,2-0
1998-1999,09.05.1999,Sampdoria-Fiorentina,3-2
1998-1999,09.05.1999,Vicenza-Udinese,2-3
1998-1999,16.05.1999,Bari-Juventus,0-1
1998-1999,16.05.1999,Bologna-Sampdoria,2-2
1998-1999,15.05.1999,Fiorentina-Lazio,1-1
1998-1999,15.05.1999,Milan-Empoli,4-0
1998-1999,16.05.1999,Parma-Piacenza,0-1
1998-1999,16.05.1999,Roma-Cagliari,3-1
1998-1999,16.05.1999,Salernitana-Vicenza,2-1
1998-1999,16.05.1999,Udinese-Perugia,1-2
1998-1999,16.05.1999,Venezia-Inter,3-1
1998-1999,23.05.1999,Cagliari-Fiorentina,1-1
1998-1999,23.05.1999,Empoli-Udinese,1-3
1998-1999,23.05.1999,Inter-Bologna,3-1
1998-1999,23.05.1999,Juventus-Venezia,3-2
1998-1999,23.05.1999,Lazio-Parma,2-1
1998-1999,23.05.1999,Perugia-Milan,1-2
1998-1999,23.05.1999,Piacenza-Salernitana,1-1
1998-1999,23.05.1999,Sampdoria-Bari,1-0
1998-1999,23.05.1999,Vicenza-Roma,1-4
1999-2000,28.08.1999,Bologna-Torino,0-0
1999-2000,29.08.1999,Fiorentina-Bari,1-0
1999-2000,29.08.1999,Inter-Verona,3-0
1999-2000,29.08.1999,Juventus-Reggina,1-1
1999-2000,30.08.1999,Lazio-Cagliari,2-1
1999-2000,29.08.1999,Lecce-Milan,2-2
1999-2000,29.08.1999,Perugia-Parma,1-1
1999-2000,29.08.1999,Piacenza-Roma,1-1
1999-2000,29.08.1999,Venezia-Udinese,1-1
1999-2000,11.09.1999,Bari-Lazio,0-0
1999-2000,12.09.1999,Cagliari-Juventus,0-1
1999-2000,12.09.1999,Milan-Perugia,3-1
1999-2000,12.09.1999,Parma-Bologna,1-1
1999-2000,11.09.1999,Reggina-Fiorentina,2-2
1999-2000,12.09.1999,Roma-Inter,0-0
1999-2000,12.09.1999,Torino-Venezia,2-1
1999-2000,11.09.1999,Udinese-Piacenza,3-0
1999-2000,12.09.1999,Verona-Lecce,2-0
1999-2000,18.09.1999,Bari-Milan,1-1
1999-2000,19.09.1999,Bologna-Reggina,0-1
1999-2000,19.09.1999,Fiorentina-Verona,4-1
1999-2000,19.09.1999,Inter-Parma,5-1
1999-2000,19.09.1999,Juventus-Udinese,4-1
1999-2000,19.09.1999,Lazio-Torino,3-0
1999-2000,18.09.1999,Perugia-Cagliari,3-0
1999-2000,19.09.1999,Piacenza-Lecce,1-1
1999-2000,19.09.1999,Venezia-Roma,1-3
1999-2000,26.09.1999,Cagliari-Venezia,1-1
1999-2000,25.09.1999,Lecce-Juventus,2-0
1999-2000,25.09.1999,Milan-Bologna,4-0
1999-2000,26.09.1999,Parma-Lazio,1-2
1999-2000,26.09.1999,Reggina-Piacenza,1-0
1999-2000,26.09.1999,Roma-Perugia,3-1
1999-2000,26.09.1999,Torino-Inter,0-1
1999-2000,26.09.1999,Udinese-Fiorentina,1-1
1999-2000,26.09.1999,Verona-Bari,0-1
1999-2000,03.10.1999,Bari-Udinese,1-1
1999-2000,03.10.1999,Bologna-Lecce,2-0
1999-2000,02.10.1999,Cagliari-Torino,1-1
1999-2000,03.10.1999,Fiorentina-Roma,1-3
1999-2000,02.10.1999,Inter-Piacenza,2-1
1999-2000,03.10.1999,Juventus-Venezia,1-0
1999-2000,03.10.1999,Lazio-Milan,4-4
1999-2000,03.10.1999,Parma-Verona,3-0
1999-2000,03.10.1999,Perugia-Reggina,2-1
1999-2000,16.10.1999,Fiorentina-Parma,0-2
1999-2000,17.10.1999,Lecce-Reggina,2-1
1999-2000,17.10.1999,Milan-Cagliari,2-2
1999-2000,17.10.1999,Piacenza-Bologna,0-0
1999-2000,17.10.1999,Roma-Juventus,0-1
1999-2000,17.10.1999,Torino-Bari,3-1
1999-2000,16.10.1999,Udinese-Lazio,0-3
1999-2000,17.10.1999,Venezia-Inter,1-0
1999-2000,17.10.1999,Verona-Perugia,2-0
1999-2000,24.10.1999,Bari-Juventus,1-1
